iso3,country,region,cities,city_ofmsw_food_green_tpy,city_unmanaged_ofmsw_food_green_tpy,cities_with_ad_asset_data,cities_with_compost_asset_data
LBN,Lebanon,Mid. East & N. Africa,2,0.0,0.0,0,0
LBR,Liberia,Sub-Saharan Africa,1,69875.1,69875.1,0,0
LBY,Libya,Mid. East & N. Africa,1,192382.74,177569.26902,0,1
LKA,Sri Lanka,S. Asia,1,226300.0,173685.25000000003,0,1
LTU,Lithuania,Eur. & Cent. Asia,2,202866.42560000002,8882.990481400002,0,0
LVA,Latvia,Eur. & Cent. Asia,2,0.0,0.0,0,0
MDA,Moldova,Eur. & Cent. Asia,2,192429.36834000002,188010.94488198002,0,0
MDG,Madagascar,Sub-Saharan Africa,1,258420.00000000003,258420.00000000003,0,0
MDV,Maldives,S. Asia,1,55855.0419,10930.83169983,0,0
MEX,Mexico,L. Amer. & the Caribbean,3,2463317.0130000003,1653845.4572193297,0,3
MHL,Marshall Islands,E. Asia & Pacific,1,348.50677785,317.8381813992,0,0
MKD,North Macedonia,Eur. & Cent. Asia,2,1341.912,0.0,0,0
MLI,Mali,Sub-Saharan Africa,1,106810.70803199998,106810.70803199998,0,0
MMR,Myanmar,E. Asia & Pacific,2,868460.4213,691340.49245916,0,0
MNE,Montenegro,Eur. & Cent. Asia,2,42208.24339619572,0.0,0,0
MNG,Mongolia,E. Asia & Pacific,1,297000.0,0.0,0,0
MNP,Northern Mariana Islands,E. Asia & Pacific,1,5024.09388,4903.51562688,0,0
MOZ,Mozambique,Sub-Saharan Africa,1,273020.0,273020.0,0,0
MRT,Mauritania,Sub-Saharan Africa,1,0.0,0.0,0,0
MWI,Malawi,Sub-Saharan Africa,2,111142.5,107803.51557203388,0,1
MYS,Malaysia,E. Asia & Pacific,1,420000.0,0.0,0,0
NAM,Namibia,Sub-Saharan Africa,1,39724.399999999994,38334.045999999995,0,0
NER,Niger,Sub-Saharan Africa,1,19187.52732,0.0,0,0
NGA,Nigeria,Sub-Saharan Africa,3,3097567.42,2905225.6587000005,0,0
NIC,Nicaragua,L. Amer. & the Caribbean,2,0.0,0.0,0,0
NLD,Netherlands,Eur. & Cent. Asia,2,139872.6240027789,926.6537400277892,0,2
NOR,Norway,Eur. & Cent. Asia,2,114584.00000000003,2448.8160000000007,0,0
NPL,Nepal,S. Asia,2,313495.3975,54079.22855000001,0,0
NZL,New Zealand,E. Asia & Pacific,2,249604.5658045435,188043.4123566544,0,1
OMN,Oman,Mid. East & N. Africa,1,195052.11502,0.0,0,0
PAK,Pakistan,S. Asia,2,3747621.2575000003,3602216.87816925,0,1
PAN,Panama,L. Amer. & the Caribbean,3,274966.0492205,270887.92234859,0,0
PER,Peru,L. Amer. & the Caribbean,2,148754.61242400002,148754.61242400002,0,1
PHL,Philippines,E. Asia & Pacific,2,1980000.5731,1220739.44363778,0,0
PLW,Palau,E. Asia & Pacific,1,629.74,618.7825240000001,0,1
PNG,Papua New Guinea,E. Asia & Pacific,1,42048.0,0.0,0,0
POL,Poland,Eur. & Cent. Asia,2,0.0,0.0,0,2
PRT,Portugal,Eur. & Cent. Asia,2,177644.6,20029.100000000002,0,1
PRY,Paraguay,L. Amer. & the Caribbean,3,275106.43662429,134654.75579999998,0,0
PSE,West Bank and Gaza,Mid. East & N. Africa,1,89970.68872399999,89970.68872399998,0,0
QAT,Qatar,Mid. East & N. Africa,1,0.0,0.0,0,0
ROU,Romania,Eur. & Cent. Asia,2,567268.0729,442507.27082700003,0,1
RUS,Russian Federation,Eur. & Cent. Asia,3,2987521.942,2527805.6491159997,0,1
RWA,Rwanda,Sub-Saharan Africa,1,244328.74128000002,147721.15697788802,0,1
SAU,Saudi Arabia,Mid. East & N. Africa,2,3013050.0,2952990.0,0,0
SEN,Senegal,Sub-Saharan Africa,1,413070.6470588233,413070.6470588233,0,0
SLB,Solomon Islands,E. Asia & Pacific,1,5282.152,5282.152,0,0
SLE,Sierra Leone,Sub-Saharan Africa,1,242279.7,242279.7,0,0
SLV,El Salvador,L. Amer. & the Caribbean,2,237293.36011952002,237293.36011952002,0,0
SOM,"Somalia, Fed. Rep. ",Sub-Saharan Africa,1,0.0,0.0,0,0
SRB,Serbia,Eur. & Cent. Asia,2,444110.12150000007,112712.12896300002,0,2
SSD,South Sudan,Sub-Saharan Africa,1,58400.0,58400.0,0,0
SVK,Slovak Republic,Eur. & Cent. Asia,2,0.0,0.0,0,2
SVN,Slovenia,Eur. & Cent. Asia,1,0.0,0.0,0,0
SWE,Sweden,Eur. & Cent. Asia,2,0.0,0.0,0,0
SYR,Syrian Arab Republic,Mid. East & N. Africa,1,0.0,0.0,0,1
TGO,Togo,Sub-Saharan Africa,1,39258.00000000013,38100.857142857276,0,1
THA,Thailand,E. Asia & Pacific,1,2305470.0,2040340.95,0,0
