iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
BLZ,Belize,L. Amer. & the Caribbean,UMIC,45525.40345874397,45525.40345874397,170.21,9142.128606632492,11385.128349941178,9286.727051549184,18610.784933934538,Prevention,18610.784933934538
BOL,Bolivia,L. Amer. & the Caribbean,LMIC,1799294.875,1744596.3108,485.86,721834.9052889629,756046.9308525273,685545.5690016919,878023.65563584,Prevention,878023.65563584
BRA,Brazil,L. Amer. & the Caribbean,UMIC,37060612.217999995,36455168.41113391,103.39,16163960.469780372,18188960.820859622,16464786.8243723,19417021.35656409,Prevention,19417021.35656409
VGB,British Virgin Islands,L. Amer. & the Caribbean,HIC,18294.716441987115,3611.377025648256,647.06,856.02624518455,872.146379178741,736.6847994619877,1476.3309280850071,Prevention,1476.3309280850071
CYM,Cayman Islands,L. Amer. & the Caribbean,HIC,0.0,0.0,642.86,,,,,,
CHL,Chile,L. Amer. & the Caribbean,HIC,5003035.722279791,4871690.718998549,372.8,2489711.4965244425,2637000.0255817566,2430214.510278142,2709766.326181421,Prevention,2709766.326181421
COL,Colombia,L. Amer. & the Caribbean,UMIC,8876117.097379997,7374774.949379996,202.15,3457877.10227321,3799093.657873285,3463408.2437005774,3994321.9501948184,Prevention,3994321.9501948184
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,859964.3293770495,777114.5525457509,24.12,221544.64370927977,270499.7574832496,232636.71961656053,354740.9901020794,Prevention,354740.9901020794
CUB,Cuba,L. Amer. & the Caribbean,UMIC,3178327.33587099,2918259.5950309555,640.26,690225.0947636593,705115.9396953605,595295.7747903646,1192984.5224486543,Prevention,1192984.5224486543
CUW,Curaçao,L. Amer. & the Caribbean,HIC,60694.29721937584,37878.140556145896,,,,15376.799578637918,19309.602702647306,Prevention,19309.602702647306
DMA,Dominica,L. Amer. & the Caribbean,UMIC,0.0,,600.0,,,,,,
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,2652063.601394931,2492939.785311235,580.06,741751.8249507684,768573.6644824662,672057.8171436979,1100875.2994042623,Prevention,1100875.2994042623
ECU,Ecuador,L. Amer. & the Caribbean,UMIC,2973131.079,2952319.161447,181.19,731919.4939260365,874331.9714666697,738834.2935586694,621715.1891479833,AD-bio-CNG,874331.9714666697
SLV,El Salvador,L. Amer. & the Caribbean,UMIC,617672.8094838249,613596.1689412317,113.12,168526.98677026638,202049.8591067795,173136.84233568134,274822.79377985524,Prevention,274822.79377985524
GRD,Grenada,L. Amer. & the Caribbean,UMIC,9214.0,9186.358,666.67,4162.063244516754,4186.141844994055,3844.807139619999,4740.824135999999,Prevention,4740.824135999999
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,3769255.923212073,3769255.923212073,191.4,1106645.2733035835,1284848.7136982256,1112550.1630213377,1712701.6450317488,Prevention,1712701.6450317488
GUY,Guyana,L. Amer. & the Caribbean,HIC,130373.20831577366,130373.20831577366,648.44,38718.33887187421,39283.381794766945,34396.36354995057,57197.33395229622,Prevention,57197.33395229622
HTI,Haiti,L. Amer. & the Caribbean,LMIC,1691562.418123816,1691562.418123816,534.65,386517.1895973636,411934.4483384488,345061.81767307717,691510.7165290159,Prevention,691510.7165290159
HND,Honduras,L. Amer. & the Caribbean,LMIC,1979177.1515607685,1979177.1515607685,296.56,532022.726614087,606038.3512788955,519313.4302593251,852185.3109258867,Prevention,852185.3109258867
JAM,Jamaica,L. Amer. & the Caribbean,UMIC,696947.8571522365,696947.8571522365,561.25,160658.83195280118,169389.17294356457,142170.39338048472,284912.28400383424,Prevention,284912.28400383424
MEX,Mexico,L. Amer. & the Caribbean,UMIC,21421730.874147315,19551613.768834252,464.38,8977212.577058932,9400086.068717005,8602420.985662859,7757060.185738035,AD-bio-CNG,9400086.068717005
NIC,Nicaragua,L. Amer. & the Caribbean,LMIC,0.0,0.0,289.35,,,,,,
PAN,Panama,L. Amer. & the Caribbean,HIC,678010.5753111525,678010.5753111525,168.98,183449.2895267059,216932.68061261933,185666.14473897585,300850.10692782607,Prevention,300850.10692782607
PRY,Paraguay,L. Amer. & the Caribbean,UMIC,0.0,0.0,24.71,,,,,,
PER,Peru,L. Amer. & the Caribbean,UMIC,5597637.570175758,5499678.912697682,287.81,1820492.7183484235,2030686.7734932909,1788831.9293843133,2123553.9963977984,Prevention,2123553.9963977984
PRI,Puerto Rico,L. Amer. & the Caribbean,HIC,905459.6580748332,778695.3059443566,660.3,220621.99455138444,223129.128532979,194106.09909337957,126227.99472631002,AD-bio-CNG,223129.128532979
SXM,Sint Maarten (Dutch),L. Amer. & the Caribbean,HIC,7119.31913737056,6407.387223633505,,,,1511.573048211058,1523.8616013984065,Prevention,1523.8616013984065
KNA,St. Kitts and Nevis,L. Amer. & the Caribbean,HIC,8976.0,,636.36,,,,,,
LCA,St. Lucia,L. Amer. & the Caribbean,UMIC,43303.7825,,650.0,,,,,,
MAF,St. Martin (French),L. Amer. & the Caribbean,HIC,4182.146212026117,,,,,,,,
VCT,St. Vincent and the Grenadines,L. Amer. & the Caribbean,UMIC,9805.068,9802.51468638419,600.0,3355.0206811134367,3442.1212261726005,3066.1285687541094,4540.524802733156,Prevention,4540.524802733156
SUR,Suriname,L. Amer. & the Caribbean,UMIC,79800.0,75810.0,374.41,16399.605693715977,18680.143123567166,15464.4819,30991.128,Prevention,30991.128
TTO,Trinidad and Tobago,L. Amer. & the Caribbean,HIC,255454.9146560755,,682.11,,,,,,
TCA,Turks and Caicos Islands,L. Amer. & the Caribbean,HIC,3875.975217703568,,653.85,,,,,,
URY,Uruguay,L. Amer. & the Caribbean,HIC,512022.4423262926,512020.9919311552,110.36,242332.3139802232,270438.5686465118,246286.39748373127,280233.7991713037,Prevention,280233.7991713037
VEN,"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),4140950.479679504,4140950.479679504,180.43,1186687.876406405,1386732.6578521966,1196625.6988107515,1868777.161323446,Prevention,1868777.161323446
VIR,Virgin Islands (US),L. Amer. & the Caribbean,HIC,16679.19689738615,,632.35,,,,,,
DZA,Algeria,Mid. East & N. Africa,LMIC,7659125.300433826,7046395.276399119,633.65,2196391.5761629133,2236723.243290256,1970714.3853524644,3147226.495451864,Prevention,3147226.495451864
