iso3,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022
MRT,Mauritania,9557966698.25369,1960.35240077424,4875637.0,58.8120996197226
MUS,Mauritius,12936444123.3037,10246.5017455553,1262523.0,39.0000125885784
MWI,Malawi,12429059928.102,604.269740360317,20568728.0,16.7146031979436
MYS,Malaysia,407830525989.553,11754.5678336248,34695493.0,75.9741357073003
NAC,North America,27803134368745.3,74535.6365392629,373018004.0,80.2778760108654
NAM,Namibia,12569449123.3661,4349.79908493314,2889662.0,49.5291037671807
NCL,New Caledonia,9623318718.31459,33516.363085906,287123.0,67.5720305021282
NER,Niger,15433852712.2963,609.745147574878,25311973.0,17.477207007512
NGA,Nigeria,646950257577.814,2899.16047470324,223150896.0,61.3727650622225
NIC,Nicaragua,15634572502.2294,2322.89053964583,6730654.0,58.9954376220703
NLD,Netherlands,1046540797548.64,59123.318556487,17700982.0,94.9856177734136
NOR,Norway,596297651035.798,109269.520580298,5457127.0,82.9563661816034
NPL,Nepal,41182939600.6209,1385.91066274851,29715436.0,66.2992968721053
NRU,Nauru,152373433.909474,12911.9086441381,11801.0,100.0
NZL,New Zealand,249509991440.438,49099.7090423358,5081700.0,83.8547305017812
OED,OECD members,60588200976081.3,43950.173710934,1378565677.0,80.9495516047505
OMN,Oman,109852795838.752,23223.5829405935,4730226.0,80.0117053152301
OSS,Other small states,181859538439.061,14320.7706776288,12699005.0,54.4367375147273
PAK,Pakistan,374890295666.694,1538.3228133171,243700667.0,38.3740439760816
PAN,Panama,76479304470.9375,17378.6070017557,4400773.0,65.8211343914956
PER,Peru,246065570308.155,7350.63034300417,33475438.0,84.3663554951194
PHL,Philippines,404353369604.631,3548.06930572116,113964338.0,54.7902343568327
PLW,Palau,243826812.744141,13729.7602761496,17759.0,79.1134831712956
PNG,Papua New Guinea,31653185952.609,3102.28968594061,10203169.0,14.7358658260841
POL,Poland,695607470875.276,18891.2121169279,36821749.0,59.8315488048321
PRE,Pre-demographic dividend,1860790512304.23,1770.15579032782,1051201551.0,44.4479498791233
PRI,Puerto Rico (US),113843700000.0,35353.6821570014,3220137.0,94.1110923054937
PRK,"Korea, Dem. People's Rep.",,,26328845.0,63.2274365906829
PRT,Portugal,256898677175.024,24620.5197587181,10434332.0,61.1259255772782
PRY,Paraguay,41952910858.0846,6205.62595379319,6760464.0,68.6396537819458
PSE,West Bank and Gaza,19165500000.0,3799.95527015163,5043612.0,86.5961423216016
PSS,Pacific island small states,10350119919.8256,3896.81060847355,2656049.0,39.9427900823495
PST,Post-demographic dividend,56953387691844.6,50969.801641014,1117394729.0,80.93281887999
PYF,French Polynesia,5622688338.06317,20053.9569369322,280378.0,61.6913806937112
QAT,Qatar,235709340659.341,88701.4689763536,2657333.0,99.243997525719
ROU,Romania,295319437556.988,15503.551804598,19048502.0,52.1634832477272
RUS,Russian Federation,2291612121334.64,15619.6142578125,144236933.0,74.8544893625017
RWA,Rwanda,13316161002.3912,975.469323735369,13651030.0,27.7806702737761
SAS,South Asia,3930640287773.46,2385.08341896271,1648009565.0,34.8137520955194
SAU,Saudi Arabia,1239075200000.0,38510.2276211037,32175224.0,84.1349430023993
SDN,Sudan,51666875363.0963,1046.24084472656,49383346.0,34.7209852053086
SEN,Senegal,27783332222.6759,1574.0281059306,17651103.0,53.4435061024348
SGP,Singapore,509017841146.557,90299.0694637269,5637022.0,100.0
SLB,Solomon Islands,1466670929.62333,1877.78104490956,781066.0,29.3511689856806
SLE,Sierra Leone,7121125277.52542,860.371067916096,8276807.0,44.2666343543487
SLV,El Salvador,31870120000.0,5074.60210221806,6280319.0,74.1465021298679
SMR,San Marino,1829211863.9476,54190.8417700372,33755.0,97.1141889380465
SOM,"Somalia, Fed. Rep.",10203000000.0,573.141165798229,17801897.0,53.5010115886789
SRB,Serbia,66809895701.2152,10024.8191112596,6664449.0,61.9013813540396
SSA,Sub-Saharan Africa (excluding high income),2167458359012.26,1963.80330032374,1103704408.0,45.4749158289618
SSD,South Sudan,,,11021177.0,20.7752121046616
SSF,Sub-Saharan Africa,2292617010267.0,1865.11635260699,1229208573.0,43.1554770877868
SST,Small states,270716089069.618,13636.4661190787,19852364.0,51.5222800598785
STP,Sao Tome and Principe,540809499.189348,2389.73729784737,226305.0,68.3720919798341
SUR,Suriname,3791603200.0259,6084.43876736445,623164.0,65.8985443115234
SVK,Slovak Republic,115792972358.209,21317.7943982363,5431752.0,53.1902831072528
SVN,Slovenia,59899117741.0022,28360.3041467268,2112076.0,55.3377817873563
SWE,Sweden,575071237640.921,54836.8907235124,10486941.0,88.4038576504809
SWZ,Eswatini,4746660273.50829,3894.1620089869,1218917.0,25.396682918542
SXM,Sint Maarten (Dutch part),1592564639.32961,37793.1284399157,42139.0,100.0
SYC,Seychelles,2018346588.73752,16836.6721895387,119878.0,44.9108209981157
SYR,Syrian Arab Republic,23622827079.5047,1051.67149587463,22462173.0,72.6124992370605
TCA,Turks and Caicos Islands,1434119000.0,31280.5418020808,45847.0,93.6922471653237
TCD,Chad,17828508289.6049,966.036468278568,18455316.0,25.7635558629694
TEA,East Asia & Pacific (IDA & IBRD countries),21537214774462.6,10220.4774431567,2107261123.0,60.8301827838521
TEC,Europe & Central Asia (IDA & IBRD countries),5264484546456.79,11421.1364427001,460942269.0,68.9112783282391
TGO,Togo,8646453099.4124,951.232378690387,9089738.0,42.7332327975627
THA,Thailand,495644697587.661,6909.35281815827,71735329.0,59.742374420166
TJK,Tajikistan,10713525200.3998,1052.17949484894,10182222.0,26.1957126615618
TKM,Turkmenistan,42208726137.7192,5837.84224538947,7230193.0,47.0592103414926
TLA,Latin America & the Caribbean (IDA & IBRD countries),5851879329574.93,9174.55690452428,637837815.0,80.8195255101746
TLS,Timor-Leste,3208599889.00965,2343.24954740187,1369295.0,28.5857292288968
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2141649636190.98,3010.19656726913,711465045.0,51.925275557204
TON,Tonga,556514555.400882,5298.01941509951,105042.0,21.147219451842
TSA,South Asia (IDA & IBRD),3930640287773.46,2385.08341896271,1648009565.0,34.8137520955194
TSS,Sub-Saharan Africa (IDA & IBRD countries),2292617010267.0,1865.11635260699,1229208573.0,43.1554770877868
TTO,Trinidad and Tobago,28341164301.126,20750.5202434652,1365805.0,53.9474037904998
TUN,Tunisia,44929920092.7955,3707.29283414381,12119334.0,69.707138648303
TUR,Turkiye,926097476913.818,10897.8397861365,84979913.0,89.0381164550781
TUV,Tuvalu,59065982.0873657,5911.32727055301,9992.0,63.3065768081154
TZA,Tanzania,75749121842.9149,1207.52062988281,64711821.0,34.8234736377147
UGA,Uganda,45565333210.9108,963.067314117178,47312719.0,29.9251969709665
UKR,Ukraine,161989520721.19,4199.6708984375,41048766.0,69.42345912103
URY,Uruguay,70594110920.0358,20818.6146091144,3390913.0,95.4977416992188
USA,United States,25604848907611.0,76657.2488844403,334017321.0,80.0324978239707
UZB,Uzbekistan,90095926567.4359,2578.66689394219,34938955.0,50.9847412109375
VCT,St. Vincent and the Grenadines,989188888.888889,9693.55867833025,102046.0,47.585897833353
VEN,"Venezuela, RB",89013255584.7499,3155.04207099687,28213017.0,89.2132204732836
VGB,British Virgin Islands,,,38319.0,54.795911692548
VIR,Virgin Islands (U.S.),4672000000.0,44320.909185774,105413.0,95.2171514724412
VNM,Viet Nam,413445230668.578,4147.69777213621,99680655.0,37.5478515625
VUT,Vanuatu,1055031360.57356,3370.21191956953,313046.0,22.2541249733107
WLD,World,102251524725531.0,12798.1658465319,7989545217.0,57.0703302851395
WSM,Samoa,889554711.842341,4132.44717734444,215261.0,17.5007949951039
XKX,Kosovo,9354907646.29785,5290.95006509706,1768096.0,47.8001996538455
YEM,"Yemen, Rep.",,,38222876.0,36.3226310308295
ZAF,South Africa,407596043067.885,6534.24867783397,62378410.0,63.4766699210327
ZMB,Zambia,29163782140.4858,1447.12310138035,20152938.0,44.5988511178469
ZWE,Zimbabwe,40757561708.7741,2536.40050223076,16069056.0,38.7055207169041
