iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_grid_credit_share,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
LBN,Lebanon,Mid. East & N. Africa,LMIC,1457668.7706118536,1457668.7706118536,379.86,455698.9633622482,80897.33838744594,0.1775236392695901,374801.62497480225,80897.33838744595,AD
LBY,Libya,Mid. East & N. Africa,UMIC,2890891.722595346,2890891.722595346,830.53,1015468.7371744242,350783.3487484118,0.345439830796247,664685.3884260124,350783.34874841187,AD
MLT,Malta,Mid. East & N. Africa,HIC,112342.056582,97319.62398370232,500.0,36896.91606079594,7109.2247849512205,0.1926780214703358,29787.69127584472,7109.2247849512205,AD
MAR,Morocco,Mid. East & N. Africa,LMIC,5262285.850885011,4836040.696963325,662.64,2036266.056066088,468187.0694073453,0.2299243107316965,1568078.986658743,468187.069407345,AD
OMN,Oman,Mid. East & N. Africa,HIC,1249413.1112073,619708.9031588208,545.28,311904.0627012742,49369.544923211,0.1582843919878486,262534.5177780632,49369.54492321098,AD
QAT,Qatar,Mid. East & N. Africa,HIC,757087.7446213181,754715.9618651386,596.9,294359.9134311529,65816.82585915166,0.2235930330729133,228543.0875720012,65816.82585915166,AD
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,8677370.581836307,8332555.726510289,700.05,5042768.805405772,852234.4906008944,0.1690013013658908,4190534.314804878,852234.4906008942,AD
SYR,Syrian Arab Republic,Mid. East & N. Africa,LIC,2395863.530646965,2328120.489317922,682.27,720054.2802004665,232067.08552589628,0.3222910993061352,487987.1946745703,232067.08552589623,AD
TUN,Tunisia,Mid. East & N. Africa,LMIC,1863952.9285719893,1696197.1650005102,565.62,611224.1308228847,140169.3018294431,0.2293255366746313,471054.82899344154,140169.3018294432,AD
ARE,United Arab Emirates,Mid. East & N. Africa,HIC,1275486.1147556256,1153671.390621407,558.49,443489.3840241533,94134.61351617886,0.2122590007950497,349354.77050797443,94134.61351617886,AD
PSE,West Bank and Gaza,Mid. East & N. Africa,UMIC,788862.1469550496,767089.5516990903,460.78,251796.60647180947,51640.62710110378,0.2050886539921869,200155.9793707057,51640.627101103775,AD
YEM,"Yemen, Rep.",Mid. East & N. Africa,LIC,3746712.786364822,3746712.786364822,584.16,1118857.202003124,319767.29103792197,0.2857981255029086,799089.9109652019,319767.291037922,AD
BMU,Bermuda,N. Amer.,HIC,17857.000415299935,2446.1644404520457,650.79,973.3307146818912,232.58319882420255,0.2389559841438031,740.7475158576884,232.58319882420278,AD
CAN,Canada,N. Amer.,HIC,9573913.640211128,5987670.607226044,160.6,2031232.6344754256,140493.18613311363,0.0691664675668213,1890739.448342312,140493.1861331137,AD
