iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data
GHA,Ghana,Sub-Saharan Africa,LMIC,Kumasi,kumi,2000000.0,,2011.0,547500.0,0.75,0.4,,0.02,,,,,,0.91,,,,,,,,0.06,0.03,0.4,219000.0,1.0,219000.0,,,,,,False,False
GRC,Greece,Eur. & Cent. Asia,HIC,Athens,athn,664046.0,3153355.0,2020.0,310660.0,1.282,0.411,0.05,0.032,,,,,,0.572,,0.405,0.022,,,,0.001,,,0.46099999999999997,143214.25999999998,0.572,81918.55671999998,0.405,,,,125817.3,False,True
GRC,Greece,Eur. & Cent. Asia,HIC,Thessaloniki,thes,315196.0,809043.0,2015.0,130628.9,1.135,0.443,,0.046,,,,,,0.8527,,,0.0856,,,,,,0.0617,0.443,57868.602699999996,0.9144,52915.050308879996,,,,,,False,False
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,Antigua Guatemala,anti,45098.0,,2011.0,9218.0312,0.56,0.493,,0.025,,,,0.7873,,,,,,,,,0.2127,,,0.493,4544.489381599999,0.7873,3577.8764901336795,,,,,,False,False
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,Guatemala City,guat,1142188.0,2738259.0,2015.0,424130.0,1.017,,,,,0.85,,1.0,,,,,,,,,,,,,,1.0,,,,,,,False,False
GTM,Guatemala,L. Amer. & the Caribbean,UMIC,Jutiapa,juti,157773.0,,2017.0,18615.0,1.131021023684911,0.429125,0.042125,,,,,1.0,,,,,,,,,,,,0.47125,8772.31875,1.0,8772.31875,,,,,,False,False
GIN,Guinea,Sub-Saharan Africa,LMIC,Conakry,cnky,3000000.0,1938272.0,2019.0,620000.0,0.566,0.44,,0.05,,0.3,0.3,,,,,,,,,,,0.7,,0.44,272800.0,1.0,272800.0,,,,,,False,False
HTI,Haiti,L. Amer. & the Caribbean,LMIC,Port Au Prince,papr,3500000.0,2438601.0,2017.0,900000.0,0.705,,,,,0.37,0.37,,,,,,,,,,,0.63,,,,1.0,,,,,,,False,False
HND,Honduras,L. Amer. & the Caribbean,LMIC,San Pedro Sula,spsu,874561.0,767271.0,2013.0,289685.9,0.907,0.2105,,0.0754,,,,1.0,,,,,,,,,,,,0.2105,60978.88195,1.0,60978.88195,,,,,,False,False
HND,Honduras,L. Amer. & the Caribbean,LMIC,Tegucigalpa,tegu,1207640.0,1232933.0,2013.0,292000.0,0.662,0.468,,,,,,0.91,,,,,0.09,,,,,,,0.468,136656.0,0.91,124356.96,,,,,,False,False
HUN,Hungary,Eur. & Cent. Asia,HIC,Budapest,buda,1714286.0,1768073.0,2022.0,600000.0,0.959,0.3,,,,,,,,0.32,,0.04,0.1,0.54,,,,,,0.3,180000.0,0.32,57600.0,0.04,,30000.0,,24000.0,False,True
HUN,Hungary,Eur. & Cent. Asia,HIC,Debrecen,debn,,,2022.0,69477.7,,0.137660840565302,,,,,,,0.8668,,,0.0681,0.0651,,,,,,,0.137660840565302,9564.358582543882,0.8668,8290.386019349036,0.0681,,,,4734.2,False,True
IND,India,S. Asia,LMIC,Ahmedabad,ahdb,7180000.0,,2023.0,1496500.0,0.571,0.35,0.15,,,0.9755,0.9,0.02,,,,,0.08,,,,,0.0245,,0.5,748250.0,0.9445,706722.125,,,1400.0,,,False,True
IND,India,S. Asia,LMIC,Bengaluru,bglr,8443675.0,,2022.0,2007500.0,0.651,0.53,0.06,,,,,,,,,,,,,,,0.35,,0.5900000000000001,1184425.0000000002,0.35,414548.75000000006,,,,,,False,False
IND,India,S. Asia,LMIC,Delhi,dehi,16787941.0,30290936.0,2022.0,4139830.0,0.676,0.4743,,,,1.0,0.2982,,,,1e-05,0.1032,,0.4369,,,,0.11,0.05169,0.4743,1963521.369,0.45989,903003.84238941,0.10321,,1552.73,22.1066922,427027.60433,True,True
IND,India,S. Asia,LMIC,Mumbai,muba,12442373.0,,2022.0,2263000.0,0.498,0.726,,0.0351,,,,,,,,0.161290322580645,,,,,,,,0.726,1642938.0,,,0.161290322580645,,,22.1066922,,True,False
IND,India,S. Asia,LMIC,Pune,pune,3120000.0,,2021.0,824170.0,0.724,0.7598,,,,0.875,,,,,0.0686,0.1544,0.0515,0.1029,0.103,0.1716,0.223,0.125,,0.7598,626204.366,0.125,78275.54575,0.223,,,56538.062,127251.848,True,True
