iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
COL,Colombia,L. Amer. & the Caribbean,UMIC,Bogotá,bogo,7968095.0,10978360.0,2023.0,2667955.0,0.92,0.56,,0.101,,1.0,,,1.0,,,,,,,,,,,0.56,1494054.8,1.0,1494054.8,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,1.4940548,1.4940548
COL,Colombia,L. Amer. & the Caribbean,UMIC,Cali,cali,2280522.0,2781980.0,2023.0,562990.0,0.68,0.5225,,,,,,,1.0,,,,,,,,,,,0.5225,294162.27499999997,1.0,294162.27499999997,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,0.294162275,0.294162275
COL,Colombia,L. Amer. & the Caribbean,UMIC,Medellin,mede,2595300.0,3735098.0,2023.0,678060.0,0.72,0.537,0.031,0.006,,,,,1.0,,,,,,,,,,,0.5680000000000001,385138.08,1.0,385138.08,,,,,,False,False,Prevention,3994321.9501948184,0.9465198742433693,0.7854764149254675,Immediate priority,Prevention,0.582,0.38513808,0.38513808
COM,Comoros,Sub-Saharan Africa,LMIC,Moroni,moro,70000.0,,2021.0,16863.0,0.66,0.63,,,,,,,,,,,,,,,,,,0.63,10623.69,,,,,,,,False,False,,,,,,Missing/insufficient data,0.0,,0.01062369
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,LIC,Kinshasa,kins,12000000.0,17778474.0,2023.0,2847000.0,0.65,0.65,,,0.0025,0.2222,,0.22,,,,,,,,,,0.78,,0.65,1850550.0,1.0,1850550.0,,,,,,False,False,,,,,,Missing/insufficient data,0.0,1.85055,1.85055
COG,"Congo, Rep.",Sub-Saharan Africa,LMIC,Brazzaville,braz,1960000.0,2388090.0,2019.0,372482.0,0.521,0.32,,0.05,,,0.35,,,,,,,,,,,0.65,,0.32,119194.24,1.0,119194.24,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.11919424,0.11919424
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,Alajuela,alja,306206.0,365584.0,2018.0,99470.9,0.8899989343730369,0.511,,,,1.0,,,1.0,,,,,,,,,,,0.511,50829.6299,1.0,50829.6299,,,,,,False,False,Prevention,354740.9901020794,0.6480993632847455,0.8026687204135176,No-regret / complementary,Prevention,0.769,0.0508296299,0.0508296299
CRI,Costa Rica,L. Amer. & the Caribbean,UMIC,San José,sanj,342188.0,1399629.0,2018.0,142384.31,1.139999064841549,0.4879,,,,,,,1.0,,,,,,,,,,,0.4879,69469.304849,1.0,69469.304849,,,,,,False,False,Prevention,354740.9901020794,0.6480993632847455,0.8026687204135176,No-regret / complementary,Prevention,0.769,0.06946930484899999,0.06946930484899999
CIV,Côte d’Ivoire,Sub-Saharan Africa,LMIC,Abidjan,abid,5551934.0,5202762.0,2020.0,1818795.0,0.898,0.453,,0.003,,0.85,,,0.85,,,,,,,,,0.15,,0.453,823914.135,1.0,823914.135,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.823914135,0.823914135
HRV,Croatia,Eur. & Cent. Asia,HIC,Split,splt,176314.0,,2020.0,246396.0,3.829,,,,,,,,,0.87,,,0.113,,,,,,0.017,,,0.887,,,,0.0,,,False,True,AD-bio-CNG,233116.59351035912,0.5963525116418177,0.7211709997262788,No-regret / complementary,AD-bio-CNG,0.609,,
HRV,Croatia,Eur. & Cent. Asia,HIC,Zagreb,zagr,790000.0,684878.0,2020.0,384240.576,1.333,,,,,,,,,,,,,,,,,,,,,,,,,27033.0,,13132.38228624,False,True,AD-bio-CNG,233116.59351035912,0.5963525116418177,0.7211709997262788,No-regret / complementary,AD-bio-CNG,0.609,,
CUB,Cuba,L. Amer. & the Caribbean,UMIC,Havana,hava,2138420.0,2140423.0,2019.0,546366.31,0.7,0.6022333333333334,0.0901333333333333,,,,,,,,,,,,,,,,,0.6923666666666668,378285.8208336668,,,,,,,,False,False,Prevention,1192984.5224486543,0.7975813786761158,0.7006173400878907,Immediate priority,Prevention,0.922,,0.3782858208336668
CYP,Cyprus,Eur. & Cent. Asia,HIC,Nicosia,nico,326980.0,,2022.0,186843.0,1.566,,,,,,,,,,,,,,,,,,,,,,,,292800.0,11666.0,,,True,True,Prevention,98180.4987125517,0.4897734963044797,0.7956237224883346,No-regret / complementary,Prevention,0.766,,
CZE,Czech Republic,Eur. & Cent. Asia,HIC,Karlovy Vary,karv,49043.0,,2023.0,15665.71133,0.875,0.244,,0.069,,,,,,,,,,,,,,,,0.244,3822.43356452,,,,,,,,False,False,Prevention,569109.8301811385,0.7063583482092564,0.7994055962740355,Immediate priority,Prevention,0.546,,0.00382243356452
CZE,Czechia,Eur. & Cent. Asia,HIC,Prague,prag,1274562.0,1305737.0,2021.0,338010.0,0.727,,,,,,,,,0.0,,,0.0240022484541877,0.78610396142126,,,,,0.1899,,,0.1899,,,,,,,False,False,Prevention,569109.8301811385,0.7063583482092564,0.7994055962740355,Immediate priority,Prevention,0.546,,
DNK,Denmark,Eur. & Cent. Asia,HIC,Copenhagen,copn,602481.0,1346485.0,2022.0,250000.0,1.137,0.41,0.07,,,,,,0.02,,,,0.45,0.53,,,,,,0.48,120000.0,0.02,2400.0,,,,,,False,False,AD-bio-CNG,15691.706973680515,0.2637711030629047,0.9483394891231114,No-regret / complementary,AD-bio-CNG,1.0,0.0024,0.12
DJI,Djibouti,Mid. East & N. Africa,LMIC,Djiibouti City,djic,531499.0,,2014.0,125560.0,0.647,0.37,,0.05,,0.87,0.87,,,,,,,,,,,0.13,,0.37,46457.2,1.0,46457.2,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.0464572,0.0464572
DOM,Dominican Republic,L. Amer. & the Caribbean,UMIC,Santo Domingo,sado,2944550.0,2944551.0,2015.0,730000.0,0.679,0.577,0.0685,0.003,0.009,0.8684,,,,1.0,,,,,,,,,,0.6455,471215.0,1.0,471215.0,,,,,,False,False,Prevention,1100875.2994042623,0.7876778392219946,0.7424462026079087,Immediate priority,Prevention,0.836,0.471215,0.471215
