iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,ad_screen_avoided_landfill_gwp20_tco2e,bio_cng_screen_avoided_landfill_gwp20_tco2e,compost_screen_avoided_landfill_gwp20_tco2e,prevention_screen_avoided_landfill_gwp20_tco2e,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,0.0,0.0,354.17,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
FIN,Finland,Eur. & Cent. Asia,HIC,931515.11756096,3416.6539312357486,129.97,69.69682121506506,33.731598688704,101.527921559029,69.69682121506506,222.9788828909288,7.993125205968784,101.527921559029,69.69682121506506,46.50066000411854,32.76197182672346,963.6277628048928,5631.503154177257,5631.503154177257,5631.503154177257,2647.1673235992557,5563.706831306932,5744.960990303188,5585.002494173138,3610.7950864041486,AD-bio-CNG,5744.960990303188
FRA,France,Eur. & Cent. Asia,HIC,9266871.022858456,2360639.575155856,78.55,48133.1134610945,14085.383858791462,70147.82135950137,48133.1134610945,154060.8987536496,3337.7082953128647,70147.82135950137,48133.1134610945,32128.304617871203,20541.30225141017,604456.3611175254,3889155.5676564355,3889155.5676564355,3889155.5676564355,1659737.2219139417,3833093.130155726,3969730.936755271,3857027.2630385645,2264193.583031467,AD-bio-CNG,3969730.936755271
GEO,Georgia,Eur. & Cent. Asia,UMIC,553306.6156381388,553306.6156381388,167.02,8316.419755687482,7019.83907369686,16441.83806765668,8316.419755687482,36110.09295475522,1663.438876989875,16441.83806765668,8316.419755687482,7530.50303883507,4158.209877843741,165991.9846914417,671966.7162595486,671966.7162595486,671966.7162595486,335983.3581297743,662544.7172655887,689971.5322696571,664436.2132207135,501975.342821216,AD-bio-CNG,689971.5322696571
DEU,Germany,Eur. & Cent. Asia,HIC,17636664.102796208,245569.7611447904,419.74,4911.395222895808,7829.752966100372,7297.252794274133,4911.395222895808,16026.461009486233,1855.3581277724577,7297.252794274133,4911.395222895808,3342.204449180597,2455.6976114479044,73670.92834343713,396840.7340099813,396840.7340099813,396840.7340099813,198420.36700499067,397373.2341818075,403714.5840974209,393498.5295608007,272091.2953484278,AD-bio-CNG,403714.5840974209
GIB,Gibraltar,Eur. & Cent. Asia,HIC,4646.384595128288,,571.43,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,Eur. & Cent. Asia,HIC,2329954.4460773286,1810374.6046020845,376.81,21724.495255225014,51818.36224225302,53796.36760051371,21724.495255225014,118149.3107211701,12279.010585682008,53796.36760051371,21724.495255225014,24639.198368634377,10862.247627612507,543112.3813806254,1755339.216622181,1755339.216622181,1755339.216622181,877669.6083110905,1753361.2112639204,1807413.1491571555,1730700.0182535467,1420781.989691716,AD-bio-CNG,1807413.1491571555
GRL,Greenland,Eur. & Cent. Asia,HIC,0.0,0.0,111.11,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
HUN,Hungary,Eur. & Cent. Asia,HIC,724708.2999999999,366137.127326,228.9,7322.7425465199985,6366.23075707507,10879.984420768486,7322.7425465199985,23894.971302088263,1508.5581920085854,10879.984420768486,7322.7425465199985,4983.1263029068605,3661.371273259999,109841.1381978,591677.5977588159,591677.5977588159,591677.5977588159,295838.79887940787,587163.8440951224,603184.026448127,586694.471455909,405679.93707720784,AD-bio-CNG,603184.026448127
ISL,Iceland,Eur. & Cent. Asia,HIC,0.0,0.0,27.68,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
