iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
AFG,Afghanistan,S. Asia,LIC,1773343.562656199,1133166.5365373115,125.0,288841.53670386435,268147.0064096005,468696.72021104826,Prevention,468696.72021104826
BGD,Bangladesh,S. Asia,LMIC,7430088.360427992,5601072.621625495,676.48,2184921.8130252413,1631344.8807826384,2100472.5002956856,AD,2184921.8130252413
BTN,Bhutan,S. Asia,LMIC,26896.37611026181,20514.71321452968,24.14,5353.72758314663,5281.374917603226,8896.535944397348,Prevention,8896.535944397348
IND,India,S. Asia,LMIC,94401898.86867614,47295351.33320674,705.75,18726160.898855116,13849515.667263718,21670975.425812382,Prevention,21670975.425812382
MDV,Maldives,S. Asia,UMIC,141650.4740499853,141650.4740499853,611.77,41048.390995443086,28387.68195653636,53220.54150416049,Prevention,53220.54150416049
NPL,Nepal,S. Asia,LMIC,1092210.4744194043,1092210.4744194043,23.36,289670.9380327759,285943.3235081387,483511.9655732953,Prevention,483511.9655732953
PAK,Pakistan,S. Asia,LMIC,27625600.0,,,,,,,
LKA,Sri Lanka,S. Asia,LMIC,1765607.2966264249,1368698.7763448043,410.15,347917.43642621924,265900.7131193903,559696.9480362418,Prevention,559696.9480362418
AGO,Angola,Sub-Saharan Africa,LMIC,4191612.6822622544,,172.16,,,,,
BEN,Benin,Sub-Saharan Africa,LMIC,778299.6964189151,583724.7723141863,595.96,227588.4967351251,176763.5355521819,270381.3145359311,Prevention,270381.3145359311
BWA,Botswana,Sub-Saharan Africa,UMIC,34310.607284033744,34097.619562368985,847.66,13664.0505759746,9441.279186363976,15351.936396533012,Prevention,15351.936396533012
BFA,Burkina Faso,Sub-Saharan Africa,LIC,132221.1620043677,117676.83418388726,568.05,36338.21584272374,26571.93159913736,49976.42592976289,Prevention,49976.42592976289
BDI,Burundi,Sub-Saharan Africa,LIC,213598.87860744793,,230.77,,,,,
