iso3,country,best_four_pathway_screen,scenario,mitigation_potential_score,readiness_score,opportunity_readiness_class,central_opportunity_readiness_class
ZMB,Zambia,Prevention,Central equal weights,0.7716406678116028,0.5732233429868508,Strategic build-out,Strategic build-out
ZWE,Zimbabwe,,Central equal weights,,,Missing/insufficient,Missing/insufficient
ASM,American Samoa,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
AUS,Australia,AD-bio-CNG,Collection-heavy,0.9451936824048736,0.8804068723156012,Immediate priority,Immediate priority
BRN,Brunei Darussalam,AD-electricity,Collection-heavy,0.3946121553771129,0.4399253853785555,Longer-term / local fit,Longer-term / local fit
KHM,Cambodia,Prevention,Collection-heavy,0.7891204840453387,0.5489925848340752,Strategic build-out,Strategic build-out
CHN,China,Prevention,Collection-heavy,1.0,0.6728360774799244,Immediate priority,Immediate priority
FJI,Fiji,Prevention,Collection-heavy,0.3430324819031734,0.6491724312855406,No-regret / complementary,No-regret / complementary
PYF,French Polynesia,Prevention,Collection-heavy,0.208906926979552,0.8337696240865767,No-regret / complementary,No-regret / complementary
GUM,Guam,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
HKG,"Hong Kong SAR, China",AD-bio-CNG,Collection-heavy,0.6965509574755353,0.8820050190654918,Immediate priority,Immediate priority
IDN,Indonesia,Prevention,Collection-heavy,1.0,0.7001696778348313,Immediate priority,Immediate priority
JPN,Japan,Prevention,Collection-heavy,0.4192427209499342,0.9343472022162654,No-regret / complementary,No-regret / complementary
KIR,Kiribati,Prevention,Collection-heavy,0.1042019922815948,0.6152655753798866,No-regret / complementary,No-regret / complementary
KOR,"Korea, Rep.",Prevention,Collection-heavy,0.637981576646601,0.875040474025349,No-regret / complementary,No-regret / complementary
LAO,Lao PDR,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
MAC,"Macao SAR, China",,Collection-heavy,,,Missing/insufficient,Missing/insufficient
MYS,Malaysia,Prevention,Collection-heavy,0.9182241651254056,0.7350914047044855,Immediate priority,Immediate priority
MHL,Marshall Islands,Prevention,Collection-heavy,0.0,0.6863273014088697,No-regret / complementary,No-regret / complementary
FSM,"Micronesia, Fed. Sts.",Prevention,Collection-heavy,0.0153479024780708,0.4774581565943721,Longer-term / local fit,Longer-term / local fit
MNG,Mongolia,Prevention,Collection-heavy,0.5771760550574917,0.6088652194326101,No-regret / complementary,No-regret / complementary
MMR,Myanmar,AD-bio-CNG,Collection-heavy,0.8398357970490514,0.4879729861328808,Strategic build-out,Strategic build-out
NRU,Nauru,Prevention,Collection-heavy,0.0,0.9230098109739883,No-regret / complementary,No-regret / complementary
NCL,New Caledonia,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
NZL,New Zealand,AD-bio-CNG,Collection-heavy,0.5737778870953206,0.7941066537175088,No-regret / complementary,No-regret / complementary
MNP,Northern Mariana Islands,Prevention,Collection-heavy,0.0158560664590792,0.7655052361568967,No-regret / complementary,No-regret / complementary
PLW,Palau,Prevention,Collection-heavy,0.0401310503180615,0.8044433509773317,No-regret / complementary,No-regret / complementary
PNG,Papua New Guinea,Prevention,Collection-heavy,0.6178051524036267,0.5072728899498168,Longer-term / local fit,Longer-term / local fit
PHL,Philippines,Prevention,Collection-heavy,0.9467666060743666,0.5685726497081879,Strategic build-out,Strategic build-out
